hour|min|text|author|book|approved
1|30|Только теперь, — Гамов вынул из кармана часы и посмотрел на них, близко поднося к глазам, — пять минут четвертого, а тогда мы подошли к перекрестку не позже как в **половине второго**…|Александр Куприн|Лунной ночью|1
1|40|В своей комнате он взглянул запухшими от слез глазами на часы и испугался: **два без двадцати минут**! Торопясь и стараясь не шуметь, он свел велосипед с балкона, тихо и скоро повел его по двору.|Иван Бунин|Тёмные аллеи|1
1|40|Он открыл потайной шкаф в стене, где лежал костюм, в который он переодевался для своих ночных похождений, и спрятал туда вещи Бэзила, подумав, что их потом можно будет просто сжечь. Затем посмотрел на часы. Было **сорок минут второго**.|Оскар Уайльд|Портрет Дориана Грея|1
1|45|Заехали они далеко. Королькова приказала извозчику остановиться возле двухэтажного кирпичного дома с вывеской: «Номера для приезжающих Белград». Было уже **без четверти два**, место было глухое.|Иван Бунин|Петлистые уши|1
2|0|И мы только в **два часа ночи** вспомнили, что доктора велят ложиться спать в одиннадцать.|Михаил Лермонтов|Герой нашего времени|1
2|0|И в **два часа ночи** целая стая вытунов напала на их участок и всё разнесла, чтобы её найти.|Джон Огаст|Арло Финч. Озеро Луны|1
2|0|Цирк с лошадьми и возами обстановки грузился в товарный поезд, который должен был отойти в **два часа ночи**.|Владимир Гиляровский|Люди театра|1
2|0|Было уже **два часа ночи**, когда весь дом успокоился.|Дмитрий Мамин-Сибиряк|Медведко|1
2|0|Ровно в **два часа ночи** Брике положили на операционный стол. Она пришла в себя и молча смотрела на Керна так, как смотрят на своего палача приговоренные к смерти.|Алексей Беляев|Голова профессора Доуэля|1
2|15|Светящийся диск часов на башне висел, как чудовищная луна. Бистрем различал: **четверть третьего**. Где-то нужно переждать до утра…|Алексей Толстой|Эмигранты|1
2|37|— Не помню, так; ходил по комнате... всё равно. Я часы остановил, было **тридцать семь минут третьего**.|Фёдор Достоевский|Бесы|1
2|40|Было без **двадцати минут три**. А они уж на самой вершине башни. Умирала ночь. За горизонтами готовилось утро. Прохор дрожал холодной дрожью. Холод кругом и сияние жаркого месяца.|Вячеслав Шишков|Угрюм-река|1
2|40|"Большая толпа знакомых и просто любопытных стояла на набережной.
– Куда он запропастился? – недоумевал Гатлинг, посматривая на часы. – **Сорок минут третьего**.
– Подождем немного, – сказал профессор Томсон."|Александр Беляев|Остров Погибших Кораблей|1
2|45|Он проснулся уже ночью: луна озаряла его комнату. Он взглянул на часы: было **без четверти три**. Сон у него прошел; он сел на кровать, и думал о похоронах старой графини.|Александр Пушкин|Пиковая дама|1
3|0|"— Почему такое равнодушие в трубке?  
— Так **три часа ночи**
— Ну и что? Разве в три часа ночи ты меня не любишь?"|Ринат Валиуллин|Где валяются поцелуи|1
3|0|"Вот какие мысли приходят в **три часа ночи**. Мысли под рубрикой ""О господи, я в полной жопе"".  "|Рик Янси|5 волна|1
3|0|Он изо всех сил напрягал зрение, вглядываясь в окружающий его мрак, и старался уловить малейший звук или движение в осажденном городе. Но башенные часы пробили **три часа пополуночи**, а кругом было по-прежнему тихо, как в могиле.|Вальтер Скотт|Квентин Дорвард|1
3|0|Только сейчас я заметила, что уже **три часа утра** и что, собираясь нацарапать несколько слов, я написала целый том.|Шодерло де Лакло|Опасные связи|1
3|5|Только теперь, — Гамов вынул из кармана часы и посмотрел на них, близко поднося к глазам, — **пять минут четвертого**, а тогда мы подошли к перекрестку не позже как в половине второго…|Александр Куприн|Лунной ночью|1
3|10|"Пир шел: холодная водка, балык, грузди, семга, чего только не было... Но Василий Сергеевич посмотрел на часы и сказал Юрию Сергеевичу:
— Ты меня извини, Юрий, уже **десять минут четвертого**, я должен тебя оштрафовать на три рубля."|Константин Коровин|Московская канитель|1
3|15|Знаешь, мы тут катаемся, разбрасываем по всему городу дохлую рыбу, бьем окна, фотографируем голых пацанов, врываемся в деловой небоскреб в **пятнадцать минут четвертого утра** и все такое.|Джон Грин|Бумажные города|1
3|16|Он зевнул и высунул левую руку из-под одеяла. **Шестнадцать минут четвертого**. Он лениво покрутил головку часов, заводя их.|Ричард Мэтисон|В один из тех дней|1
3|20|Мы были на городском вокзале в **двадцать минут четвертого** и, наскоро закусив в буфете, сразу отправились в Скотленд-Ярд. Холмс уже телеграфировал Форбсу, и он нас ждал.|Артур Конан Дойл|Записки о Шерлоке Холмсе|1
3|30|— «Это все равно, назначьте время». — «Если вам непременно угодно, утром послезавтра, в **половине четвертого**»|Николай Чернышевский|Что делать?|1
3|30|"Послы были от бабушки. Требовалось сыскать и доставить меня немедленно, «сердятся», — сообщил Потапыч.
— Но ведь еще только **половина четвертого**!"|Фёдор Достоевский|Игрок|1
3|40|"Он повесил трубку и схватил с полки расписание поездов.
— Да, вот он, последний, в двадцать три пятьдесят пять. Следующий пойдет только в **три сорок**."|Аркадий Гайдар|Тимур и его команда|1
3|53|"— Товарищ командир, разрешите отправляться?
— Да! — Полковник смотрит на часы: три часа пятьдесят три минуты. — Приказано отправляться в **три часа пятьдесят три минуты**."|Аркадий Гайдар|Тимур и его команда|1
4|0|И если ты будешь меня любить в **четыре часа утра**, мы сделаем так, чтобы всегда было четыре часа; вместе со временем мы полетим вокруг Земли, и оно остановится для нас.|Эрих Мария Ремарк|Триумфальная арка|1
4|0|В **четыре часа ночи** услышала я, что стучат и ломятся в мою комнату. Я спала, улегшись кое-как на полу, проснулась и закричала от страха, но тотчас же отличила голос Кати, который раздавался громче всех|Фёдор Достоевский|Неточка Незванова|1
4|0|**Около четырёх часов утра** два подвыпивших гражданина возвращались домой после товарищеской пирушки. Они шли, крепко обнявшись.|Лазарь Лагин|Старик Хоттабыч|1
4|0|Отъезд Николая Герасимовича был назначен рано утром, и в этот день его пришли разбудить в **четыре часа** утра|Николай Гейнце|Самозванец|1
4|0|На другой день к обеду прискакал верхом гонец с письмом от Шатова: письмо было отправлено в **четыре часа утра**, а в полдень уже получено Васильем Петровичем.|Сергей Аксаков|Наташа|1
4|0|Вон тот старик, у него грыжа, от которой он страдает, а он с **четырех часов утра** до десяти вечера работает и еле жив. А мы? Ну разве можно, поняв это, жить спокойно, считая себя христианином? Ну, не христианином, а просто не зверем.|Лев Толстой|И свет во тьме светит|1
4|0|— В **четыре часа** меня разбудить, — наказывает он Степану, — а девкам скажи, чтобы не гамели.|Михаил Салтыков-Щедрин|Пошехонская старина|1
4|0|Они ушли только в **четыре часа утра**. Муж с полуночи дремал в маленьком, почти пустом салоне в обществе трех других чиновников, жены которых очень веселились.|Ги де Мопассан|Ожерелье|1
4|5|Любитель бесконечных разочарований с коллекцией старых открыток, я иду! Я иду! Вы хотите показать мне вокзал, часы которого остановились в **пять минут пятого**.|Чарльз Симик|Мир не кончается|1
4|18|Светящийся циферблат будильника показывал **восемнадцать минут пятого**. С лихорадочно бьющимся сердцем Дейзи прислушивалась, пытаясь уловить разбудивший ее звук.|Дикси Браунинг|Сумасшедшее сердце|1
4|20|Было **двадцать минут пятого**. Поскольку в ту ночь я ни на секунду не сомкнул глаз, речь шла не о том, чтобы «идти досыпать», а о том, чтобы наконец просто уснуть.|Николя Барро|Ты найдешь меня на краю света|1
4|23|Часы в витрине лавки часовщика показывали **двадцать три минуты пятого**. По методичному, словно бег по стадиону, передвижению секундной стрелки было ясно, что часы идут.|Найо Марш|Премьера убийства|1
4|30|"(Далее в тетрадь вырезано десятка два страниц.)
…ря
…ять рвота в **4 час. 30 мннут**.
Когда мне полегчает, запишу свои ужасные впечатления."|Михаил Булгаков|Морфий|1
4|32|Он всегда ожидает, что ему скажут **тридцать две минуты пятого** или сорок семь минут десятого, и сердится, что люди так не точно выражаются о драгоценнейшем сокровище, о времени.|Николай Лесков|Страстная суббота в тюрьме|1
4|40|Было **сорок минут пятого** на карманных часах лейтенанта, когда он скомандовал выступление. Старший вахмистр ехал рядом с ним, а по обе стороны араба двигались спахи, не спускавшие с него глаз.|Жюль Верн|Наступление моря|1
4|50|**Без десяти минут пять** Уэно вздохнул в последний раз и закрыл глаза. Он метался в бреду целых три дня, а умер легко и тихо.|Дзюнъити Ватанабэ |Свет без тени|1
5|0|Нынче в **пять часов утра**, когда я открыл окно, моя комната наполнилась запахом цветов, растущих в скромном палисаднике. Ветки цветущих черешен смотрят мне в окна, и ветер иногда усыпает мой письменный стол их белыми лепестками.|Михаил Лермонтов|Герой нашего времени|1
5|0|В Петербурге разработан классический метод кадрежа: перевозите девушку на противоположный берег, и она никуда от вас не денется, пока не сведут мосты, часов в **пять утра**.|Фредерик Бегбедер|Идеаль|1
5|0|Рано утром, **часов в пять**, меня шумно разбудили: «Скорее, скорее!|Антон Чехов|Остров Сахалин|1
5|0|Подошли мы таким манером часов в **пять утра** к селенью, выстроились там солдаты в ширингу; мне велели стать в стороне и лошадей отпрячь; чтобы, знаете, они не испугались, как стрелять будут|Алексей Писемский|Люди сороковых годов|1
5|1|Женщина-патрульный еще раз глянула на часы, будто проверяя саму себя. Нет, ровно пять, даже **одна минута шестого**.|Корней Азарофф|Игрушки для хороших парней|1
5|1|"Нет, это был не взрыв. Просто таким ярким может быть Солнце, когда выходишь из Лабиринта… Чип посмотрел на часы.
— **Одна минута шестого**, — тихо произнес он."|Роман Канушкин|Обратный отсчет|1
5|2|В воздухе повисла легкая тревога с ароматом мыла и одеколона Дрю. Я взглянула на часы. **Две минуты шестого**.|Эмма Скотт|Сгорая дотла|1
5|2|Как же прикажете его узнать, мадам, если он не помнил себя от ярости и готов был все вокруг сокрушить, ваш щекастик, и было это в **две минуты шестого**, если желаете знать!|Луи Арагон|Весенняя незнакомка|1
5|3|В **три минуты шестого** приходит раскаяние. Меня охватывает паника, пока я задыхаюсь и хватаю ртом воздух. |Хейне Баккейд|Завтра я буду скучать по тебе|1
5|3|В **три минуты шестого** приходит раскаяние. Меня охватывает паника, пока я задыхаюсь и хватаю ртом воздух. Тело дрожит, меня трясёт, я размахиваю ногами, чтобы освободиться, но это не помогает.|Хейне Баккейд|Завтра я буду скучать по тебе|1
5|6|— Да, сэр. Вызов получили в **шесть минут шестого**. Позвонив, пошли в гостиную, чтобы посмотреть, что украдено?|Фрэнсис Дик|Рама для картины|1
5|10|В тот момент, **десять минут шестого** 25 декабря 1913 года, Чарли Хорст считал себя самым счастливым человеком в мире.|Вера Каспери|Беллилия|1
5|10|Вода из тюремных душей омывает моё лицо, а чёрная стрелка настенных часов завершает ещё один оборот. ** Десять минут шестого**.|Хейне Баккейд|Завтра я буду скучать по тебе|1
5|10|Там уже стоял электрический поезд, весь освещенный. На большом циферблате было обозначено время отхода. Стрелки показывали **десять минут шестого**.|Эрнест Хемингуэй|Прощай, оружие!|1
5|16|Было пятнадцать или **шестнадцать минут шестого**, когда она наконец вернулась. Запыхавшись, прижимая к груди бумажный пакет — со свитером, надо думать, со свитером, конечно.|Луи Арагон|Весенняя незнакомка|1
5|17|На лице мужчины, еще чистом, стекленели мутные глаза, а на губах застыла улыбка. Часы на стене показывали **семнадцать минут шестого**.|Анна Кутковская|Дом, у которого вынули душу|1
5|17|"Я сказал, что в Скопле, Македония, часы на вокзале были оставлены, чтобы сохранить память о землетрясении 1963 года:  
— И стрелки на них показывают **пять семнадцать**."|Филип Марсден|Перекресток: путешествие среди армян|1
5|18|Который же час? Уже семнадцать, почти **восемнадцать минут шестого**! Вы уверены, что они не спешат, ваши ходики? Жильбер — сама точность!|Луи Арагон|Весенняя незнакомка|1
5|20|На Синдзюку мне к тому времени приходилось сталкиваться с кое-какими странными  вещами, но чтобы в **двадцать минут шестого утра** совершенно  незнакомые  девушки предлагали мне с ними выпить, такое было впервые.|Харуки Мураками|Норвежский Лес|1
5|20|В пять часов старик встал, торопливо оделся и в **двадцать минут шестого** спустился по лестнице и запер за собой входную дверь.|Артур Конан Дойл|Кровавая расправа в Манор-Плэсе|1
5|27|А часы тюремной башни в продолжение целых двух часов неуклонно показывали **двадцать семь минут шестого**, хотя господин Сарматов и говорил, что видит на них сначала пять часов, а потом без четверти семь.|Максим Горький|Между прочим|1
5|45|"Чаплицкий поставил на первую карту пятьдесят тысяч и выиграл соника; загнул пароли, пароли-пе,— отыгрался и остался еще в выигрыше…
Однако пора спать: уже **без четверти шесть**. В самом деле, уже рассветало"|Александр Пушкин|Пиковая дама|1
5|55|Противники встретились **без пяти минут в 6 часов утра**, в роще, именуемой «Дубечная», расположенной в 3 1/2 верстах от города.|Александр Куприн|Поединок|1
5|59|он был строгий блюститель собственных правил и, положивши вставать в шесть часов утра, поднимал Ника в **59 минут шестого**, и никак не позже одной минуты седьмого, и отправлялся с ним на чистый воздух|Александр Герцен|Былое и думы|1
6|0|Было **шесть часов утра**, улицы были пусты, асфальт мокрый и чёрный, автоматические светофоры одиноко и ненужно перемигивались на перекрёстках.|Аркадий и Борис Стругацкие|Пикник на обочине|1
6|0|Затем Федосья будила меня в **шесть часов утра**.|Дмитрий Мамин-Сибиряк|Черты из жизни Пепко|1
6|0|Проснувшись часов в **шесть утра** и узнав, что я приехал на заре и сплю в кибитке, она прибежала и разбудила меня.|Сергей Аксаков|Собирание бабочек|1
6|0|он был строгий блюститель собственных правил и, положивши вставать в **шесть часов утра**, поднимал Ника в 59 минут шестого, и никак не позже одной минуты седьмого, и отправлялся с ним на чистый воздух|Александр Герцен|Былое и думы|1
6|0|— Карету отложить! — скомандовал он лакею, — но завтра ровно в **шесть часов утра** чтобы она была готова! Слышишь?|Иван Тургенев|Новь|1
6|2|Бежит Семен к своей будке, задыхается. Бежит – вот-вот упадет. Выбежал из лесу – до будки «со сажен, не больше, осталось, слышит – на фабрике гудок загудел. Шесть часов. А в **две минуты седьмого** поезд пройдет. Господи! Спаси невинные души!|Всеволод Гаршин|Сигнал|1
6|5|В **пять минут седьмого**  солнце  поднялось над  горизонтом. В его  жарких лучах жабы начали таять.|Стивен Кинг|Сезон дождей|1
6|20|В **двадцать минут седьмого** почти уже все, кроме Эркеля, командированного за Шатовым, оказались в сборе.|Фёдор Достоевский|Бесы|1
6|30|"– Наше бюро было извещено о кончине уважаемой…
– Когда она умерла? – осведомился Клим.
– В **половине седьмого** текущим утром, и я немедленно…"|Максим Горький|Жизнь Клима Самгина|1
6|40|Домой он вернулся только к пяти часам утра, а подняли его насилу-насилу в **семь без двадцати**. Ах, как бы не опоздать! Вдруг залепит Дрозд трое суток без отпуска. Вот тебе и Рождество...|Александр Куприн|Юнкера|1
6|45|"— Да который час? — спросил Санин.
— **Семь часов без четверти**; до Ганау — два часа езды, а мы должны быть первые на месте. Русские всегда предупреждают врагов! Я взял лучшую карету во Франкфурте!"|Иван Тургенев|Вешние воды|1
6|45|А часы тюремной башни в продолжение целых двух часов неуклонно показывали двадцать семь минут шестого, хотя господин Сарматов и говорил, что видит на них сначала пять часов, а потом **без четверти семь**.|Максим Горький|Между прочим|1
7|0|Завтра в **семь часов утра** я буду на зелёной скамейке, в парке, и буду вас ждать. Я решилась говорить с вами об одном чрезвычайно важном деле, которое касается прямо до вас.|Фёдор Достоевский|Идиот|1
7|0|— Улики есть-с. Во-первых, исчезновение в **семь часов** или даже в седьмом **часу** утра.|Фёдор Достоевский|Идиот|1
7|0|Г-жа Простакова (бегая по театру в злобе и в мыслях). В **семь часов**!.. Мы встанем поране… Что захотела, поставлю на своем… Все ко мне.|Денис Фонвизин|Недоросль|1
7|0|Часов в **семь утра** мгновенно стихло, наступила отличная погода. Следующая и вчерашняя ночи были так хороши, что не уступали тропическим. |Иван Гончаров|Фрегат „Паллада“|1
7|15|"Когда пробили часы, Зина быстро встала и, подойдя к Тёминой комнате, проговорила через дверь:
— Тёма, уже **четверть восьмого**.
Из Тёминой комнаты послышалось какое-то неопределённое мычание."|Николай Гарин-Михайловский|Детсво Тёмы|1
7|15|В **семь часов с четвертью** (семь пальцев с кусочком) приходит поезд (он свистнул, как паровоз, и постучал сабо).|Саша Чёрный|Чудесное лето|1
7|15|Так и есть — стучат! Это Анюта. Она аккуратно приходит будить Наташу каждое утро **четверть восьмого**. Сегодня опоздала отчего-то.|Лидия Чарская|Неприятное положение|1
7|35|И потом сердито показал всем, даже Хризантеме, часы — теперь **тридцать пять минут восьмого**. И опять хлопнул по столу концами пальцев.|Саша Чёрный|Чудесное лето|1
8|0|Бездельничавший целый месяц будильник Антуана был заведён на **восемь часов**. Антуан неподвижно лежал на спине, рука с зажжённой сигаретой свесилась с кровати. Начался дождь.|Франсуаза Саган|Сигнал к капитуляции|1
8|0|**Восемь часов утра**. В это время пьяницы пытаются либо забыть, кто они такие, либо вспомнить, где живут.|Терри Пратчетт|Роковая музыка|1
8|0|На другой день, в **восемь часов утра**, Эмиль, с Тартальей на сворке, отъявился к Санину.|Иван Тургенев|Вешние воды|1
8|0|На другой день в **восемь часов** я был в приемной зале Бенкендорфа.|Александр Герцен|Былое и думы|1
8|0|Александра Михайловна согласилась; и с этих пор я ровно по три раза в неделю отправлялась по утрам, в **восемь часов**, в сопровождении служанки в консерваторию.|Фёдор Достоевский|Неточка Незванова|1
8|0|Рано утром, еще, может быть, в **восемь часов**, Татьяна Павловна прилетела в мою квартиру, то есть к Петру Ипполитовичу, все еще надеясь застать там князя, и вдруг узнала о всех вчерашних ужасах, а главное, о том, что я был арестован.|Фёдор Достоевский|Подросток|1
8|0|Всякий день неизменно, в **восемь часов** утра, ему приносили в его комнату стакан кофе со свежею булкою;|Николай Лесков|Обойдённые|1
8|0|Он на другой день уж с **8 часов утра** ходил по Невскому, от Адмиралтейской до Полицейского моста, выжидая, какой немецкий или французский книжный магазин первый откроется, взял, что нужно, и читал больше трех суток сряду|Николай Чернышевский|Что делать?|1
8|0|— Еще **девятый час**, — возразила она.|Алексей Писемский|Виновата ли она|1
8|7|Зо Ли посмотрел на браслет личного информа (рубиновые цифры часов показали **семь минут девятого**) и перевел взгляд на каменное поле. В этот момент из стены под обрывом совершенно беззвучно вытянулся колоссальный факел прозрачно–голубого пламени.|Василий Головачев|Демон|1
8|10|Этого было недостаточно, чтобы пойти в «Кинотеатр для всех», который за тридцать пфеннигов в половине одиннадцатого утра распахивал для всех свои двери. А было всего **десять минут девятого**.|Генрих Бёлль|Газетчик|1
8|11|"Они бросились в свои комнаты и начали быстро запихивать вещи в холщовые сумки. Через несколько минут Дэнни произнес:
– Сейчас **одиннадцать минут девятого**. В восемь двадцать мы уходим. Согласен?
– Согласен, – подтвердил Трэй и бросил взгляд на свое спутниковое устройство."|Джон Гришэм|Остров Камин|1
8|15|Андрей(взглянув на часы). **Девятого четверть**.|Антон Чехов|Три сестры|1
8|20|Стоявшие на письменном столе кабинета часы показывали **двадцать минут десятого**.|Николай Гейнце|Под гнётом страсти|1
8|30|"Петр достал часы, лежавшие под рукой, и подал.
— **Половина девятого**. Там не встали?"|Лев Толстой|Смерть Ивана Ильича|1
8|30|«Что за вздор!» — подумал Вронский и взглянул на часы. Было уже **половина девятого**.|Лев Толстой|Анна Каренина|1
8|45|— Теперь, разумеется, застал дома? — спросил Розанов, показывая старику свои карманные часы, на которых было **три четверти девятого**.|Николай Лесков|Некуда|1
8|45|Пожалуй, так и лучше! Предостерегать бабушку от лишних волнений. Конечно, так. Проходя мимо думы, Верочка взглянула на часы. **Без четверти девять**! Успею как раз вовремя. Надо прибавить ходу.|Лидия Чурковская|Гимназистки|1
8|45|**Без четверти девять** теперь; ведь вот уж пора идти. А что-то будет такое; что-то тут будет? Желал бы я знать, что здесь именно особенного такого скрывается, — этак цель, направление и разные там закавыки.|Фёдор Достоевский|Двойник|1
8|48|"У Грэхема упало настроение: какие правильные? С самого начала снова не ладится…
«**Восемь часов сорок восемь минут**», – сообщил включенный приемник. Грэхем дернулся и выжал акселератор: ну несчастье!.."|Михаил Веллер|Теперь он успеет|1
8|49|Интервью закончилось в **восемь часов сорок девять минут утра**. А с девяти начали поступать звонки. Знакомые со всей страны, в основном подруги Эммы по колледжу, звонили, чтобы высказать ей свое восхищение|Джеймс Миченер|Роман|1
8|58|В  **восемь часов пятьдесят восемь минут** в отсек вошел капитан-лейтенант,|Леонид  Соболев|Своевременно или несколько позже|1
8|58|"Диего Вирт посмотрел на окошко универсальных часов: было **восемь часов пятьдесят восемь минут** среднесолнечного времени.
«Странно, – подумал он, вставая с постели. – На тревогу непохоже… Что там могло произойти? Неужели без меня нельзя обойтись?»"|Василий Головачев|Катастрофа|1
9|0|Ровно в **девять часов** Разумихин явился в нумера Бакалеева. Обе дамы ждали его давным-давно с истерическим нетерпением.|Фёдор Достоевский|Преступление и наказание|1
9|0|В комнате я уже был один. Я сел и стал молча дожидаться, долго, около часу; должно быть, было уже **около девяти часов**, когда меня вдруг позвали.|Фёдор Достоевский|Подросток|1
9|0|22 мая в **9 часов утра** высокие путешественники тронулись далее и в полдень прибыли в Инкерман|Николай Гейнце|Князь Тавриды|1
9|5|Все эти разговоры задержали Ипполита Матвеевича в пути, и он, против обыкновения, пришел на службу тогда, когда часы, висевшие над лозунгом «Сделал свое дело – и уходи», показывали **пять минут десятого**.|Илья Ильф, Евгений Петров|Двенадцать стульев|1
9|5|На следующее утро в **пять минут десятого** я вошел в нашу общую гостиную, где мы обычно завтракали. Мой друг Пуаро, отличавшийся необыкновенной пунктуальностью, как раз разбивал скорлупу второго яйца.|Агата Кристи|Убийство на поле для гольфа|1
9|5|"Аккуратнейший человек Захаров прибыл на  службу,  лишь  только  стрелка часов показала девять по московскому времени, и, к ужасу  своему,  застал  в помещении ""Кабаре"" милицию и представителей уголовного розыска. В **пять минут десятого** прибыли следственные власти."|Михаил Булгаков|Мастер и Маргарита|1
9|10|Пока малыш карабкался по тропинке, петлявшей по склону утеса, избушка развернулась кругом и потерла друг о друга передние конечности словно муха или адвокат в суде. Стрелки часов внутри домика постоянно показывали **десять минут десятого**.|Урсула Ле Гуин|Шкатулка с темнотой|1
9|11|Было **одиннадцать минут десятого**. Девушка внезапно бросилась к двери, прыгнула в машину, сказала что-то водителю, и такси сразу же начало набирать скорость.|Эрл Гарднер|Дело о двойняшке|1
9|15|Было утро, **четверть десятого**, Миша посмотрел на часы и вдруг тихонько усмехнулся, а потом написал: На стене висят часы,  у них стрелки, как усы.|Максим Горький|Миша|1
9|15|Тонкрх… тонкрх… сердито и предостерегающе ходили часы с хрипотой, и стрелки их показывали то девять, то **девять с четвертью**, то девять с половиной…|Михаил Булгаков|Белая гвардия|1
9|20|Стоявшие на письменном столе кабинета часы показывали **двадцать минут десятого**.|Николай Гейнце|Под гнётом страсти|1
9|30|В **половине десятого** Рудин уже был в беседке.|Иван Тургенев|Рудин|1
9|30|— Сегодня четверг, значит, в **половине десятого** придет пароход.|Антон Чехов|Попрыгунья|1
9|30|Что теперь будет… Гм… **Половина десятого**. Так-с… Что теперь будет?.. Лена!|Михаил Булгаков|Дни Турбиных|1
9|30|Ведь вот уже **половина десятого**, — думал господин Голядкин, — и являться-то поздно.|Фёдор Достоевский|Двойник|1
9|30|Тонкрх… тонкрх… сердито и предостерегающе ходили часы с хрипотой, и стрелки их показывали то девять, то девять с четвертью, то **девять с половиной**…|Михаил Булгаков|Белая гвардия|1
9|35|"— Настало время действовать, — пробормотал он.
В **девять тридцать пять** он уже стучал в дверь Блора. Тот осторожно открыл дверь. Волосы у него были всклокоченные, глаза сонные."|Агата Кристи|Десять негритят|1
9|45|В **три четверти десятого** явился Кетчер в соломенной шляпе, с измятым лицом человека, не спавшего целую ночь.|Александр Герцен|Былое и думы|1
9|45|Через несколько минут она подала самовар, а еще через две минуты, когда Татьяна Павловна вдруг ее кликнула, она не отозвалась: оказалось, что она зачем-то вышла. Это я прошу очень заметить читателя; было же тогда, я полагаю, без **четверти десять часов**.|Фёдор Достоевский|Подросток|1
9|45|Было всего **без четверти десять**, когда мы вернулись в общежитие. Броссар обожал бридж и пошел искать партнера. Экли, конечно, влез ко мне в комнату.|Джером Д. Сэлинджер|Над пропастью во ржи|1
9|47|Он всегда ожидает, что ему скажут тридцать две минуты пятого или **сорок семь минут десятого**, и сердится, что люди так не точно выражаются о драгоценнейшем сокровище, о времени.|Николай Лесков|Страстная суббота в тюрьме|1
